Nom avec article;Code commune;Département;Code postal;Longitude;Latitude
Vuillecin;25634;Doubs;25300;6.32154989243;46.938999176
Vyt-lès-Belvoir;25635;Doubs;25430;6.62016010284;47.3488998413
Solaure en Diois;26001;Drôme;26150;5.4020454;44.7126061
Aix-en-Diois;26001;;26150;5.4020454;44.7126061
Albon;26002;Drôme;26140;4.84782505035;45.2450332642
Aleyrac;26003;Drôme;26770;4.9459671;44.5042476
Alixan;26004;Drôme;26300;4.976055;44.989057
Allan;26005;Drôme;26780;4.786892;44.4982877
Allex;26006;Drôme;26400;4.91351985931;44.7653999329
Ambonil;26007;Drôme;26800;4.908078;44.794516
Ancône;26008;Drôme;26200;4.7269673;44.5824462
Andancette;26009;Drôme;26140;4.8056522;45.2429879
Anneyron;26010;Drôme;26140;4.886416;45.2697519
Aouste-sur-Sye;26011;Drôme;26400;5.05654;44.713982
Arnayon;26012;Drôme;26470;5.319553;44.489537
Arpavon;26013;Drôme;26110;5.2689781189;44.3702125549
Arthémonay;26014;Drôme;26260;5.05492115021;45.1427764893
Aubenasson;26015;Drôme;26340;5.145006;44.676295
Aubres;26016;Drôme;26110;5.170079;44.376965
Aucelon;26017;Drôme;26340;5.34574604034;44.6252288818
Aulan;26018;Drôme;26570;5.428091;44.222287
Aurel;26019;Drôme;26340;5.2989493;44.6952918
La Répara-Auriples;26020;Drôme;26400;5.0069;44.6681
Autichamp;26021;Drôme;26400;4.966006;44.68173
Ballons;26022;Drôme;26560;5.642529;44.255203
Barbières;26023;Drôme;26300;5.141703;44.9563418
Barcelonne;26024;Drôme;26120;5.04998299;44.8675659
Barnave;26025;Drôme;26310;5.370774;44.660181
Barret-de-Lioure;26026;Drôme;26570;5.49318790436;44.1859855652
Barsac;26027;Drôme;26150;5.29153585434;44.7310752869
Bathernay;26028;Drôme;26260;4.99570322037;45.1804733276
La Bâtie-des-Fonds;26030;Drôme;26310;5.638069;44.514307
La Bâtie-Rolland;26031;Drôme;26160;4.86416387558;44.5544395447
La Baume-Cornillane;26032;Drôme;26120;5.04704999924;44.7886009216
La Baume-de-Transit;26033;Drôme;26790;4.86444187164;44.3367156982
La Baume-d'Hostun;26034;Drôme;26730;5.225766;45.055865
Beaufort-sur-Gervanne;26035;Drôme;26400;4.965842023;44.68175898
Beaumont-en-Diois;26036;Drôme;26310;5.472958;44.570326
Beaumont-lès-Valence;26037;Drôme;26760;4.94157981873;44.8606987
Beaumont-Monteux;26038;Drôme;26600;4.9219554;45.0201146
Beauregard-Baret;26039;Drôme;26300;5.15153980255;45.0147018433
Beaurières;26040;Drôme;26310;5.55966806412;44.5719490051
Beausemblant;26041;Drôme;26240;4.8315161;45.217582
Beauvallon;26042;Drôme;26800;4.90202;44.85751
Beauvoisin;26043;Drôme;26170;5.204807;44.306411
La Bégude-de-Mazenc;26045;Drôme;26160;4.93518686295;44.5450134277
Bellecombe-Tarendol;26046;Drôme;26110;5.352923;44.352452
Bellegarde-en-Diois;26047;Drôme;26470;5.42779016495;44.5378990173
Bénivay-Ollon;26048;Drôme;26170;5.18957;44.297266
Bésayes;26049;Drôme;26300;5.07783;44.9652
Bésignan;26050;Drôme;26110;5.325087;44.320979
Bézaudun-sur-Bîne;26051;Drôme;26460;5.16505002975;44.5960006714
